"PolicyName","IncomingInterface","OutgoingInterface","Source","Destination","Service","Action","NatEnabled","TrafficCount","FirstSeen","LastSeen","SourceIP","DestinationIP","SourcePort","DestinationPort","Protocol"
"ALLOW_INTERNAL_TO_WAN1_HTTPS","internal","wan1","192.168.1.0/24","142.250.80.0/24","HTTPS","accept","Disabled","4","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","142.250.80.46","52342","443","6"
"ALLOW_INTERNAL_TO_WAN1_HTTP","internal","wan1","192.168.1.0/24","151.101.1.0/24","HTTP","accept","Disabled","2","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","151.101.1.140","52343","80","6"
"ALLOW_INTERNAL_TO_DMZ_SSH","internal","dmz","10.0.3.0/24","10.0.5.0/24","SSH","accept","Disabled","2","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","10.0.3.100","10.0.5.50","49202","22","6"
"ALLOW_INTERNAL_TO_WAN1_HTTPS","internal","wan1","192.168.1.0/24","203.0.113.0/24","HTTPS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.30","203.0.113.50","52344","443","6"
"ALLOW_INTERNAL_TO_WAN1_DNS","internal","wan1","192.168.1.0/24","8.8.8.0/24","DNS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","8.8.8.8","52341","53","17"
"DENY_GUEST_TO_DMZ_TELNET","guest","dmz","192.168.2.0/24","10.0.5.0/24","TELNET","deny","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.2.50","10.0.5.50","49206","23","6"
"ALLOW_INTERNAL_TO_WAN1_DNS","internal","wan1","192.168.1.0/24","8.8.4.0/24","DNS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","8.8.4.4","52345","53","17"
"ALLOW_INTERNAL_TO_DMZ_RDP","internal","dmz","192.168.1.0/24","10.0.5.0/24","RDP","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.20","10.0.5.50","49201","3389","6"
"ALLOW_INTERNAL_TO_DMZ_HTTPS","internal","dmz","192.168.1.0/24","10.0.5.0/24","HTTPS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","10.0.5.50","52354","443","6"
"ALLOW_INTERNAL_TO_WAN1_HTTP_ALT","internal","wan1","192.168.1.0/24","198.51.100.0/24","HTTP-ALT","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.40","198.51.100.10","52346","8080","6"
"DENY_GUEST_TO_DMZ_SMB","guest","dmz","192.168.2.0/24","10.0.5.0/24","SMB","deny","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.2.50","10.0.5.50","49203","445","6"
"ALLOW_INTERNAL_TO_WAN1_HTTPS","internal","wan1","192.168.1.0/24","104.244.42.0/24","HTTPS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.50","104.244.42.1","52348","443","6"
"ALLOW_INTERNAL_TO_WAN1_DNS","internal","wan1","192.168.1.0/24","1.1.1.0/24","DNS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.10","1.1.1.1","52349","53","17"
"ALLOW_INTERNAL_TO_DMZ_MSSQL","internal","dmz","10.0.3.0/24","10.0.5.0/24","MSSQL","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","10.0.3.100","10.0.5.25","49204","1433","6"
"ALLOW_INTERNAL_TO_WAN1_HTTPS","internal","wan1","192.168.1.0/24","93.184.216.0/24","HTTPS","accept","Disabled","1","6/20/2026 2:20:32 AM","6/20/2026 2:20:32 AM","192.168.1.60","93.184.216.34","52350","443","6"
